Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,excluded_stage1,excluded_stage2,excluded_stage3,already_analyzed
BEDetector: A Two-Channel Encoding Method to Detect Vulnerabilities Based on Binary Similarity,L. Yu; Y. Lu; Y. Shen; H. Huang; K. Zhu,"College of Electronic Engineering, National University of Defense Technology, Hefei, China; College of Electronic Engineering, National University of Defense Technology, Hefei, China; College of Electronic Engineering, National University of Defense Technology, Hefei, China; College of Electronic Engineering, National University of Defense Technology, Hefei, China; College of Electronic Engineering, National University of Defense Technology, Hefei, China",IEEE Access,7 Apr 2021,2021.0,9,,51631,51645,"Applying neural network technology to binary similarity detection has become a promising search topic, and vulnerability detection is an important application field of binary similarity detection. When embedding binary code into matrix by neural network, the problem of feature representation also needs to be solved in vulnerability detection. However, most of the current researches extract the syntax or structural features of binary code, and take basic block as the minimum analysis unit, which is relatively coarse. In addition, the structural features of binary functions are usually represented by the dependency graph. In the embedding process, only the neighbour information of the node can be obtained, ignoring the global information of the graph. To solve these two problems, we propose a two-channel feature extraction method to obtain semantic feature in finer granularity and represent the structural features globally instead of locally. Inspired by natural language process, we propose a contextual semantic feature extraction method to obtain different granularity features of binary functions. It takes instruction as the minimum analysis unit and obtains the semantic relationship between instructions. Meanwhile, in order to represent the structural feature of each function, we propose a neural GAE model instead of the widely used structure2vec model. In this way, we can preserve and reconstruct the control dependencies between the basic blocks in the whole graph. We have implemented a prototype system BEDetector, evaluated the effectiveness of its neural model and compared the accuracy of vulnerability function detection with state-of-the-art system. Besides, we choose the real-world firmware files as the detection target and prove that BEDetector can achieve a relatively high detection rate. BEDetector could reach a precision of 88.8%, 86.7% and 100% when ranking top-50 candidate functions in the detection of the CVE vulnerability function ssl3_get_key_exchange, ssl3_get_new_session_ticket and udhcp_get_option, proving the efficiency of our method.",2169-3536,,10.1109/ACCESS.2021.3064687,National Key Research and Development Program of China(grant numbers:2017YFB0802900);,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9373443,Semantic analysis;binary code embedding;graph autoencoder;binary similarity detection,Feature extraction;Semantics;Binary codes;Syntactics;Security;Data mining;Computer architecture,binary codes;feature extraction;graph theory;neural nets,contextual semantic feature extraction method;granularity features;binary functions;minimum analysis unit;structural feature;neural GAE model;vulnerability function detection;detection target;BEDetector;CVE vulnerability function;two-channel encoding method;neural network technology;binary similarity detection;embedding binary code;feature representation;two-channel feature extraction method;structure2vec model,,3.0,,36.0,CCBYNCND,9 Mar 2021,,,IEEE,IEEE Journals,False,True,True,
Binarized Attributed Network Embedding via Neural Networks,H. Xia; N. Gao; J. Peng; J. Mo; J. Wang,"State Key Laboratory of Information Security, Institute of Information Engineering, Chinese Academy of Sciences; State Key Laboratory of Information Security, Institute of Information Engineering, Chinese Academy of Sciences; State Key Laboratory of Information Security, Institute of Information Engineering, Chinese Academy of Sciences; State Key Laboratory of Information Security, Institute of Information Engineering, Chinese Academy of Sciences; State Key Laboratory of Information Security, Institute of Information Engineering, Chinese Academy of Sciences",2020 International Joint Conference on Neural Networks (IJCNN),28 Sep 2020,2020.0,,,1,8,"Traditional attributed network embedding methods are designed to map structural and attribute information of networks jointly into a continuous Euclidean space, while recently a novel branch of them named binarized attributed network embedding has emerged to learn binary codes in Hamming space, aiming to save time and memory costs and to naturally fit node retrieval task. However, current binarized attributed network embedding methods are scarce and mostly ignore the local attribute similarity between each pair of nodes. Besides, none of them attempt to control the independency of each dimension(bit) of the learned binary representation vectors. As existing methods still need improving, we propose an unsupervised Neural-based Binarized Attributed Network Embedding (NBANE) approach. Firstly, we inherit the Weisfeiler-Lehman proximity matrix from predecessors to aggregate high-order features for each node. Secondly, we feed the aggregated features into an autoencoder with the attribute similarity penalizing term and the orthogonality term to make further dimension reduction. To solve the problem of integer optimization we adopt the relaxation-quantization method during the process of training neural networks. Empirically, we evaluate the performance of NBANE through node classification and clustering tasks on three real-world datasets and study a case on fast retrieval in academic networks. Our method achieves better performance over state- of-the-art baselines methods of various types.",2161-4407,978-1-7281-6926-2,10.1109/IJCNN48605.2020.9206717,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9206717,Attributed Network;Network Embedding;Weisfeiler-Lehman Proximity Matirx;Autoencoder,Neural networks;Task analysis;Binary codes;Data mining;Feature extraction;Optimization;Knowledge engineering,binary codes;data reduction;feature extraction;learning (artificial intelligence);matrix algebra;network theory (graphs);neural nets;pattern classification;pattern clustering,node clustering;node classification;relaxation-quantization method;dimension reduction;autoencoder;feature aggregation;Weisfeiler-Lehman proximity matrix;unsupervised neural based binarized attributed network embedding;Hamming space;binary code learning;attribute similarity penalizing term;learned binary representation vectors;neural network training,,,,28.0,IEEE,28 Sep 2020,,,IEEE,IEEE Conferences,False,True,True,
Comparing DSP realizations of correlator and SVM receivers for chaos-based multi-user DS-SS,R. Vali; J. W. H. Kao,"Department of Computing, Unitec Institute of Technology, New Zealand; Ansaldo STS, Taiwan",2014 19th International Conference on Digital Signal Processing,18 Sep 2014,2014.0,,,464,468,This contribution presents a comparison between two realizations of chaos-based multi-user direct-sequence spread spectrum (DS-SS) system in digital signal processor (DSP) technology. The first realization is a conventional correlator receiver and the second is a new support vector machine (SVM) receiver. The two realizations were aimed at examining the tradeoffs between the two receiver types and their suitability for implementation in large scale wireless communication networks. The performance benchmarks used are the bit-error-rate (BER) and system speed. In both systems the information is spread using chaotic sequences resulting in physical layer security in the time and frequency domains. The hardware platform chosen was a 32-bit floating-point TigerSHARC DSP which proved to be sufficient for the representation of chaos-based spreading codes. Both implementations show excellent agreement with the previous theoretical findings in terms of BER performance. This agreement of results proves that the finite number resolution of the DSP does not have a significant effect on the system performance. Overall it is shown that the SVM receiver outperforms the correlator receiver in terms of the BER. However this improvement is at the expense of the processing speed.,2165-3577,978-1-4799-4612-9,10.1109/ICDSP.2014.6900708,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6900708,DSP realization;Chaos-based DS-SS systems;machine learning;physical level security;support vector machine;BER performance,Receivers;Support vector machines;Digital signal processing;Chaotic communication;Training;Bit error rate,chaos;code division multiple access;correlators;digital signal processing chips;electronic engineering computing;floating point arithmetic;radio receivers;spread spectrum communication;support vector machines;telecommunication computing,SVM receiver;chaos based multiuser DS-SS;direct sequence spread spectrum system;digital signal processor technology;correlator receiver;support vector machine receiver;wireless communication;bit error rate;system speed;chaotic sequence;physical layer security;floating point DSP;TigerSHARC DSP,,,,10.0,IEEE,18 Sep 2014,,,IEEE,IEEE Conferences,False,True,True,
A CAPTCHA Implementation Based on Moving Objects Recognition Problem,J. -S. Cui; J. -T. Mei; W. -Z. Zhang; X. Wang; D. Zhang,"School of computer, Wuhan University of China, Wuhan, Hubei, China; School of computer, Wuhan University of China, Wuhan, Hubei, China; School of computer, Wuhan University of China, Wuhan, Hubei, China; School of computer, Wuhan University of China, Wuhan, Hubei, China; School of computer, Wuhan University of China, Wuhan, Hubei, China",2010 International Conference on E-Business and E-Government,30 Sep 2010,2010.0,,,1277,1280,"Nowadays, malicious computer programs have attempted to attack websites, greatly affecting their availability and security. CAPTCHA (Completely Automated Public Turing test to tell Computers and Human Apart) mechanism is an effectual method in solving this problem. The prevailing implementation of CAPTCHA is 2D still image verification code, however, the developing artificial intelligence and image recognition technologies make it possible for computer programs to pass through CAPTCHA's test. In this paper, we propose a new CAPTCHA implementation, in the form of 3D animation and based on the weak point of computer vision. This new method could prevent attacks based on both image recognition and moving objects recognition in videos. Coupled with easy use for humans, it proves to be a kind of novel, safe and practical CAPTCHA.",,978-1-4244-6647-4,10.1109/ICEE.2010.326,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5590929,CAPTCHA;computer vision;image recognition;Moving objects recognition;Three-dimensional Animation,Animation;Three dimensional displays;Computers;Pixel;Computer vision;Optical character recognition software;Humans,artificial intelligence;computer animation;computer vision;image motion analysis;object recognition;security of data;Turing machines;Web sites,CAPTCHA implementation;moving objects recognition problem;malicious computer programs;Web sites;artificial intelligence;image recognition technology;3D animation;computer vision;completely automated public turing test to tell computers and human apart;2D still image verification code,,15.0,,20.0,IEEE,30 Sep 2010,,,IEEE,IEEE Conferences,True,True,True,
Code Search Based on Alteration Intent,H. Wu; Y. Yang,"School of Computer and Communication Engineering, Zhengzhou University of Light Industry, Zhengzhou, China; School of Information and Security Engineering, Zhongnan University of Economics and Law, Wuhan, China",IEEE Access,10 May 2019,2019.0,7,,56796,56802,"Code search is to retrieve the method according to the user needs. Many people think of the query as the only one to reflect the user needs. So they start with the query and find the synonyms, semantically similar to the query terms, for query expansion. However, they overlook a fact: the retrieved methods still need to be altered because it does not meet the user needs directly. This implies that the alteration made in the retrieved methods also reflects the user needs. In this paper, we start with the alteration intent (the possible alterations after retrieving methods) and propose to predict the alteration intent and use it for query expansion. The experiment results show that our approach outperforms CodeHow, the approach to use APIs for query expansion, by 59.8% with a precision score of 0.815.",2169-3536,,10.1109/ACCESS.2019.2913560,"National Natural Science Foundation of China(grant numbers:61672470,61562026,61762049,61862033);",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8701498,Code search;query expansion;alteration intent;program context,Search engines;Data mining;Mathematical model;Search problems;Computer security;Industries,query processing,code search;alteration intent;query terms;query expansion;retrieved methods;CodeHow;user needs,,4.0,,22.0,OAPA,29 Apr 2019,,,IEEE,IEEE Journals,False,True,True,
mTRACK — Monitoring time-varying relations in approximately categorised knowledge,T. Martin; Y. Shen,"Artificial Intelligence Group, University of Bristol, UK; Artificial Intelligence Group, University of Bristol, UK",2009 IEEE Symposium on Computational Intelligence for Security and Defense Applications,18 Dec 2009,2009.0,,,1,8,"Recent initiatives in defence related information systems have emphasised the need to bring together information from multiple sources and fuse it into a form suitable for decision makers. This paper outlines a four stage system for fusing unstructured and semi-structured text and numerical data by extraction of entities and relations, identification of duplicate entities, organisation into the most appropriate hierarchical categories and determination of relations between fuzzy categories. The novel contribution of this paper is in the final stage of the process, where we determine associations between fuzzy categories and identify strong and/or unusual levels of association as well as changes over time. A demonstrator application shows how information on terrorist incidents from multiple sources can be integrated and monitored.",2329-6275,978-1-4244-3763-4,10.1109/CISDA.2009.5356563,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5356563,,Monitoring;Uncertainty;Data mining;National electric code;Association rules;Information systems;Computational intelligence;Data security;Project management;Humans,decision making;information systems;query processing;sensor fusion,mTRACK;time-varying relations;approximately categorised knowledge;defence related information systems;text fusion;numerical data fusion;hierarchical categories;duplicate entities;fuzzy categories;decision making,,2.0,,18.0,IEEE,18 Dec 2009,,,IEEE,IEEE Conferences,True,True,True,
EPR: a Neural Network for Automatic Feature Learning from Code for Defect Prediction,D. Fang; S. Liu; A. Liu,"Graduate School of Advanced Science and Engineering, Hiroshima University, Hiroshima, Japan; Graduate School of Advanced Science and Engineering, Hiroshima University, Hiroshima, Japan; Graduate School of Advanced Science and Engineering, Hiroshima University, Hiroshima, Japan","2021 IEEE 21st International Conference on Software Quality, Reliability and Security (QRS)",10 Mar 2022,2021.0,,,482,492,"Software defect prediction plays a significant role in the software development cycle but suffers from many difficulties. In this paper we propose a novel deep learning model (including algorithms) called Extractor, Parser, and Reviewer (EPR) for defect prediction in software. Two different networks, recurrent neural networks (RNNs) and one-dimensional convolutional networks(ODCNs), are employed by the EPR for different purposes. RNN is utilized to extract contextual features to represent semantic dependencies between code tokens and ODCN acts as a parser to establish dependencies between semantic features. Meanwhile, the attention mechanism of the two networks is used as a reviewer to assign different weights from location information to the importance of the features, respectively. Our proposed model is validated by the PROMISE repository, and the results show that the proposed model in this paper significantly outperforms several existing algorithms.",2693-9177,978-1-6654-5813-9,10.1109/QRS54544.2021.00059,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9724897,defect prediction;neural network;attention mechanism,Recurrent neural networks;Semantics;Software algorithms;Software quality;Predictive models;Semisupervised learning;Feature extraction,feature extraction;learning (artificial intelligence);neural nets;recurrent neural nets;software metrics,EPR;neural network;automatic feature learning;software defect prediction;software development cycle;deep learning model;parser;reviewer;recurrent neural networks;contextual features;semantic dependencies;code tokens;ODCN acts;semantic features,,1.0,,38.0,IEEE,10 Mar 2022,,,IEEE,IEEE Conferences,False,True,True,
TEM-NLnet: A Deep Denoising Network for Transient Electromagnetic Signal With Noise Learning,M. Wang; F. Lin; K. Chen; W. Luo; S. Qiang,"College of Computer Science and Cyber Security, Chengdu University of Technology, Chengdu, China; College of Mechanical and Electrical Engineering, Chengdu University of Technology, Chengdu, China; Key Laboratory of Earth Exploration and Information Technology, Ministry of Education, Chengdu University of Technology, Chengdu, China; College of Geophysics, Chengdu University of Technology, Chengdu, China; Faculty of Information Technology, Macau University of Science and Technology, Taipa, China",IEEE Transactions on Geoscience and Remote Sensing,22 Mar 2022,2022.0,60,,1,14,"Transient electromagnetic (TEM) method is a widely adopted technology in geophysics. TEM signals received by coils will be disturbed by complex noises. Compared with traditional filtering-based methods, deep-learning-based TEM signal denoising methods achieved impressive denoising performance. However, the existing deep-learning-based methods rely heavily on simulated noise with a certain distribution to construct paired datasets for supervised learning. In real scenarios, if the noise distribution of acquired TEM signals has a huge difference (e.g., the type of noise distribution, the level of noise) with that of the simulated datasets, the trained model may not always be valid. To address this issue, a novel noise-learning-inspired deep denoising network (namely, TEM-NLnet) is proposed for TEM signal denoising. Specifically, instead of inserting the simulated noise, we first learn the noise appeared in real-world signals through generative adversarial networks (GANs), such that the generator can produce the learned noise to construct paired datasets for training. Then, a deep-neural-network-based denoiser is imposed to learn mapping from the noise TEM signal to the corresponding noise-free one. Extensive experiments on the simulated and actual geological datasets show that compared with other state-of-the-art TEM denoising methods, our proposed method achieves better performance in terms of quantitative and visual results. Models and code are available at https://github.com/wmyCDUT/TEM-NLnet_demo.",1558-0644,,10.1109/TGRS.2022.3148340,Sichuan Science and Technology Program(grant numbers:2021ZHCG0014);,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9698089,Deep learning;denoising;noise learning;transient electromagnetic (TEM) signal,Noise reduction;Noise measurement;Signal denoising;Generative adversarial networks;Wavelet transforms;Neural networks;Generators,deep learning (artificial intelligence);signal denoising,transient electromagnetic signal;noise learning;transient electromagnetic method;complex noises;filtering-based methods;deep-learning-based TEM signal;impressive denoising performance;deep-learning-based methods;simulated noise;paired datasets;supervised learning;noise distribution;acquired TEM signals;real-world signals;generative adversarial networks;learned noise;deep-neural-network-based denoiser;noise TEM signal;actual geological datasets;noise-learning-inspired deep denoising network,,1.0,,42.0,IEEE,31 Jan 2022,,,IEEE,IEEE Journals,False,True,True,
Marking Key Segment of Program Input via Attention Mechanism,X. Zhang; C. Feng; R. Li; J. Lei; C. Tang,"School of Electronic Science and Technology, National University of Defense Technology, Changsha, China; School of Electronic Science and Technology, National University of Defense Technology, Changsha, China; School of Electronic Science and Technology, National University of Defense Technology, Changsha, China; School of Electronic Science and Technology, National University of Defense Technology, Changsha, China; School of Electronic Science and Technology, National University of Defense Technology, Changsha, China",IEEE Access,25 Dec 2019,2019.0,7,,183877,183891,"Key segment of a program input is the specific part of the input that has significant affect on the execution of target function. Marking key segment plays an important role in software security analysis. Traditional dynamic analysis methods can not mark the key segments correctly because of control flow dependency problem. The root cause of such problem is that implicit flow analysis method cannot cover all the behavior of the code fragment in a branch, especially when the code snippet contains unexpected jump behavior. The neural network can learn to fit the behavior of the program with proper training data. In this paper, we introduce the attention based neural network to mark the key segments of program input accurately and efficiently. We propose an attention based two-parts network structure and map program inputs into the target code execution by such network. Then we propose a two-step training method to train our network to calculate the importance of each input component on the execution of target function. Finally, we mark the key segments by statistical analysis method. We implement such method and develop a key segment marking tool AttentionMark. Experiments on four real-world software show that AttentionMark outperforms NeuralTaint and traditional dynamic analysis tool in key segment marking.",2169-3536,,10.1109/ACCESS.2019.2960522,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8936456,Taint analysis;symbolic execution;software vulnerability;neural network;key segment marking;deep learning,Neural networks;Tools;Software;Registers;Training;Security;Statistical analysis,learning (artificial intelligence);neural nets;program compilers;program diagnostics;security of data;statistical analysis;system monitoring,AttentionMark tool;two-step training method;dynamic analysis methods;program inputs;two-parts network structure;neural network;implicit flow analysis method,,,,50.0,CCBY,18 Dec 2019,,,IEEE,IEEE Journals,False,True,True,
Collective classification for unknown malware detection,I. Santos; C. Laorden; P. G. Bringas,"SLab, University of Deusto, Bilbao, Spain; SLab, University of Deusto, Bilbao, Spain; SLab, University of Deusto, Bilbao, Spain",Proceedings of the International Conference on Security and Cryptography,10 Feb 2014,2011.0,,,251,256,"Malware is any type of computer software harmful to computers and networks. The amount of malware is increasing every year and poses as a serious global security threat. Signature-based detection is the most broadly used commercial antivirus method, however, it fails to detect new and previously unseen malware. Supervised machine-learning models have been proposed in order to solve this issue, but the usefulness of supervised learning is far to be perfect because it requires a significant amount of malicious code and benign software to be identified and labelled in beforehand. In this paper, we propose a new method that adopts a collective learning approach to detect unknown malware. Collective classification is a type of semi-supervised learning that presents an interesting method for optimising the classification of partially-labelled data. In this way, we propose here, for the first time, collective classification algorithms to build different machine-learning classifiers using a set of labelled (as malware and legitimate software) and unlabelled instances. We perform an empirical validation demonstrating that the labelling efforts are lower than when supervised learning is used, while maintaining high accuracy rates.",,978-989-8425-71-3,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6732395,Security;Computer viruses;Data-mining;Malware detection;Machine learning,Accuracy;Gold;Filtering;Training,,,,2.0,1.0,28.0,,10 Feb 2014,,,IEEE,IEEE Conferences,True,True,True,
Transparent Insertion of Custom Logic in HTTP(S) Streams Using PbProxy,M. Atighetchi; B. Benyo; A. Gosain; R. MacIntyre; P. Pal; V. Travers; J. Zinky,"Raytheon BBN Technologies, Cambridge, MA, USA; Raytheon BBN Technologies, Cambridge, MA, USA; Raytheon BBN Technologies, Cambridge, MA, USA; Raytheon BBN Technologies; Raytheon BBN Technologies, Cambridge, MA, USA; Raytheon BBN Technologies, Cambridge, MA, USA; Raytheon BBN Technologies, Cambridge, MA, USA",IEEE Internet Computing,25 Apr 2011,2011.0,15,3.0,43,50,"Cost and testing considerations limit the acceptance and deployment of technologies that make information exchanges more secure, reliable, semantically understandable, and self-improving. PbProxy is a flexible proxy that enables transparent insertion of custom logic into HTTP and HTTPS interactions. It has successfully been used to facilitate behavior-based prevention of phishing attacks, machine learning of Web service procedures, and Web browsing over disruption-tolerant networks by injecting custom logic into existing applications and communication streams. PbProxy encapsulates common functionality into a proxy base and supports customizable plugins to foster code reuse.",1941-0131,,10.1109/MIC.2010.103,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5506078,Distributed systems;middleware technologies;artificial intelligence;security and privacy;networking and communications,Logic;Protocols;Web services;Costs;Machine learning;Application software;Web server;Testing;Web sites;Collaboration,formal logic;Internet;security of data,custom logic;PbProxy;HTTP interaction;HTTPS interaction;phishing attacks;machine learning;Web service procedure;Web browsing;code reuse,,,,13.0,IEEE,8 Jul 2010,,,IEEE,IEEE Magazines,True,True,True,
Toward Optimally Efficient Search With Deep Learning for Large-Scale MIMO Systems,L. He; K. He; L. Fan; X. Lei; A. Nallanathan; G. K. Karagiannidis,"School of Computer Science and Cyber Engineering, Guangzhou University, Guangzhou, China; School of Computer Science and Cyber Engineering, Guangzhou University, Guangzhou, China; School of Computer Science and Cyber Engineering, Guangzhou University, Guangzhou, China; School of Information Science and Technology, Institute of Mobile Communications, Southwest Jiaotong University, Chengdu, China; School of Electronic Engineering and Computer Science, Queen Mary University of London, London, U.K; Wireless Communications and Information Processing Group (WCIP), Aristotle University of Thessaloniki, Thessaloniki, Greece",IEEE Transactions on Communications,17 May 2022,2022.0,70,5.0,3157,3168,"This paper investigates the optimal signal detection problem with a particular interest in large-scale multiple-input multiple-output (MIMO) systems. The problem is NP-hard and can be solved optimally by searching the shortest path on the decision tree. Unfortunately, the existing optimal search algorithms often involve prohibitively high complexities, which indicates that they are infeasible in large-scale MIMO systems. To address this issue, we propose a general heuristic search algorithm, namely, hyper-accelerated tree search (HATS) algorithm. The proposed algorithm employs a deep neural network (DNN) to estimate the optimal heuristic, and then use the estimated heuristic to speed up the underlying memory-bounded search algorithm. This idea is inspired by the fact that the underlying heuristic search algorithm reaches the optimal efficiency with the optimal heuristic function. Simulation results show that the proposed algorithm reaches almost the optimal bit error rate (BER) performance in large-scale systems, while the memory size can be bounded. In the meanwhile, it visits nearly the fewest tree nodes. This indicates that the proposed algorithm reaches almost the optimal efficiency in practical scenarios, and thereby it is applicable for large-scale systems. Besides, the code for this paper is available at https://github.com/skypitcher/hats.",1558-0857,,10.1109/TCOMM.2022.3158367,"NSFC(grant numbers:61871139,62101145); Natural Science Foundation of Guangdong Province(grant numbers:2021A1515011392); research program of Guangzhou University(grant numbers:YJ2021003); National Key Research and Development Program of China(grant numbers:2019YFB1803400); National Natural Science Foundation of China(grant numbers:61971360); Fundamental Research Funds for the Central Universities(grant numbers:XJ2021KJZK007); open research fund of National Mobile Communications Research Laboratory, Southeast University(grant numbers:2021D05);",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9732440,Signal detection;integer least-squares;deep learning;maximum likelihood detection;MIMO;sphere decoding;best-first search,MIMO communication;Search problems;Complexity theory;Deep learning;Signal detection;Lattices;Heuristic algorithms,computational complexity;decision trees;error statistics;learning (artificial intelligence);MIMO communication;neural nets;optimisation;signal detection;telecommunication computing;tree searching,optimal signal detection problem;multiple-input multiple-output systems;NP-hard;decision tree;existing optimal search algorithms;prohibitively high complexities;large-scale MIMO systems;general heuristic search algorithm;hyper-accelerated tree search algorithm;deep neural network;underlying memory-bounded search algorithm;underlying heuristic search algorithm;optimal efficiency;optimal heuristic function;optimal bit error rate performance;large-scale systems;fewest tree nodes;toward optimally efficient search,,13.0,,43.0,IEEE,10 Mar 2022,,,IEEE,IEEE Journals,False,True,True,
DroidEnsemble: Detecting Android Malicious Applications With Ensemble of String and Structural Static Features,W. Wang; Z. Gao; M. Zhao; Y. Li; J. Liu; X. Zhang,"Beijing Key Laboratory of Security and Privacy in Intelligent Transportation, Beijing Jiaotong University, Beijing, China; Beijing Key Laboratory of Security and Privacy in Intelligent Transportation, Beijing Jiaotong University, Beijing, China; Beijing Key Laboratory of Security and Privacy in Intelligent Transportation, Beijing Jiaotong University, Beijing, China; Beijing Key Laboratory of Security and Privacy in Intelligent Transportation, Beijing Jiaotong University, Beijing, China; Beijing Key Laboratory of Security and Privacy in Intelligent Transportation, Beijing Jiaotong University, Beijing, China; Division of Computer, Electrical and Mathematical Sciences and Engineering, King Abdullah University of Science and Technology, Thuwal, Saudi Arabia",IEEE Access,28 Jun 2018,2018.0,6,,31798,31807,"Android platform has dominated the operating system of mobile devices. However, the dramatic increase of Android malicious applications (malapps) has caused serious software failures to Android system and posed a great threat to users. The effective detection of Android malapps has thus become an emerging yet crucial issue. Characterizing the behaviors of Android applications (apps) is essential to detecting malapps. Most existing works on detecting Android malapps were mainly based on string static features, such as permissions and API usage extracted from apps. There also exists work on the detection of Android malapps with structural features, such as control flow graph and data flow graph. As Android malapps have become increasingly polymorphic and sophisticated, using only one type of static features may result in false negatives. In this paper, we propose DroidEnsemble that takes advantages of both string features and structural features to systematically and comprehensively characterize the static behaviors of Android apps and thus build a more accurate detection model for the detection of Android malapps. We extract each app’s string features, including permissions, hardware features, filter intents, restricted API calls, used permissions, code patterns, as well as structural features like function call graph. We then use three machine learning algorithms, namely, support vector machine, k-nearest neighbor, and random forest, to evaluate the performance of these two types of features and of their ensemble. In the experiments, we evaluate our methods and models with 1386 benign apps and 1296 malapps. Extensive experimental results demonstrate the effectiveness of DroidEnsemble. It achieves the detection accuracy as 95.8% with only string features and as 90.68% with only structural features. DroidEnsemble reaches the detection accuracy as 98.4% with the ensemble of both types of features, reducing 9 false positives and 12 false negatives compared to the results with only string features.",2169-3536,,10.1109/ACCESS.2018.2835654,"National Key Research and Development Program of China(grant numbers:2017YFB0802805); Shanghai Key Laboratory of Integrated Administration Technologies for Information Security(grant numbers:AGK2015002); ZTE Corporation Foundation(grant numbers:K17L00190); Funds of Science and Technology on Electronic Information Control Laboratory(grant numbers:K16GY00040); Fundamental Research Funds for the Central Universities of China(grant numbers:K17JB00060,K17JB00020); National Natural Science Foundation of China(grant numbers:U1736114,61672092);",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8357771,Android malicious application analysis;malware analysis;software failure reduction;static analysis,Feature extraction;Androids;Humanoid robots;Software;Support vector machines;Hardware;Flow graphs,Android (operating system);application program interfaces;data flow graphs;invasive software;mobile computing;nearest neighbour methods;smart phones;support vector machines,control flow graph;data flow graph;string features;Android apps;hardware features;Android malicious applications detection;Android malapps detection;operating system;mobile devices;serious software failures;API usage;DroidEnsemble;filter intents;restricted API calls;used permissions;code patterns;function call graph;machine learning algorithms;support vector machine;restricted API calls;random forest;string static features;Android applications;Android system;Android platform;structural static features,,50.0,,47.0,OAPA,11 May 2018,,,IEEE,IEEE Journals,False,True,True,
ARMED: How Automatic Malware Modifications Can Evade Static Detection?,R. L. Castro; C. Schmitt; G. D. Rodosek,"Research Institute CODE, Bundeswehr University, Munich, Germany; Research Institute CODE, Bundeswehr University, Munich, Germany; Research Institute CODE, Bundeswehr University, Munich, Germany",2019 5th International Conference on Information Management (ICIM),16 May 2019,2019.0,,,20,27,"Modifying existing malicious software until malware scanners misclassify it as clean is an attractive technique for cybercriminals. In particular, fully automatizing the process can bring adversaries to generate faster effective threats. Recent studies suggest that injecting successful malware modifications could lead to corrupt executable files despite of detection. Therefore, we propose ARMED - Automatic Random Malware Modifications to Evade Detection - to bypass classifiers by automatizing valid malware generation based on detected threats. The goal is to understand how successful automatic perturbations can be used to avoid detection. In order to reach this goal, we take portable executable malware and add a number of small random injections to evade detection without affecting the malware structure. Our experiments proved that only six perturbations are required to create new functional malware samples exhibiting exactly the same behavior yet with up to 80% less detections based on original malware that was previously detected. We show that within a few minutes an adversary could take a previously detected malware and convert it in a clean new mutation bypassing static malware scanners.",,978-1-7281-3430-7,10.1109/INFOMAN.2019.8714698,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8714698,ARMED framework;malware;byte-level perturbations;evasion,Malware;Perturbation methods;Engines;Security;Tools;Machine learning,invasive software,random injections;malware structure;ARMED;automatic malware modifications;static detection;malicious software;Automatic Random Malware Modifications;malware detection;malware generation,,20.0,,43.0,IEEE,16 May 2019,,,IEEE,IEEE Conferences,False,True,True,
