Metric,Value,Dataset,Model Config
Precision,61.76,GitHub Archive Dataset,RF (multi-class) (R1- Augmented R0)
Recall,54.8,GitHub Archive Dataset,RF (multi-class) (R1- Augmented R0)
F1 score,57.72,GitHub Archive Dataset,RF (multi-class) (R1- Augmented R0)
Accuracy,62.21,GitHub Archive Dataset,RF (multi-class) (R1- Augmented R0)
Matthew's Correlation Coefficient (MCC),0.4341,GitHub Archive Dataset,RF (multi-class) (R1- Augmented R0)
Precision,62.73,GitHub Archive Dataset,RF (multi-class) (R2- R1 + Integer values)
Recall,55.34,GitHub Archive Dataset,RF (multi-class) (R2- R1 + Integer values)
F1 score,58.41,GitHub Archive Dataset,RF (multi-class) (R2- R1 + Integer values)
Accuracy,62.99,GitHub Archive Dataset,RF (multi-class) (R2- R1 + Integer values)
Matthew's Correlation Coefficient (MCC),0.4456,GitHub Archive Dataset,RF (multi-class) (R2- R1 + Integer values)
Precision,60.12,GitHub Archive Dataset,RF (multi-class) (R3- R1 + Identifiers numbering)
Recall,52.22,GitHub Archive Dataset,RF (multi-class) (R3- R1 + Identifiers numbering)
F1 score,55.44,GitHub Archive Dataset,RF (multi-class) (R3- R1 + Identifiers numbering)
Accuracy,61.13,GitHub Archive Dataset,RF (multi-class) (R3- R1 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.4124,GitHub Archive Dataset,RF (multi-class) (R3- R1 + Identifiers numbering)
Precision,60.93,GitHub Archive Dataset,RF (multi-class) (R4- R2 + Identifiers numbering)
Recall,52.31,GitHub Archive Dataset,RF (multi-class) (R4- R2 + Identifiers numbering)
F1 score,55.83,GitHub Archive Dataset,RF (multi-class) (R4- R2 + Identifiers numbering)
Accuracy,61.55,GitHub Archive Dataset,RF (multi-class) (R4- R2 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.4169,GitHub Archive Dataset,RF (multi-class) (R4- R2 + Identifiers numbering)
Precision,82.02,Russell et al Dataset,RF (multi-class) (R0- baseline tokenizer)
Recall,29,Russell et al Dataset,RF (multi-class) (R0- baseline tokenizer)
F1 score,31.78,Russell et al Dataset,RF (multi-class) (R0- baseline tokenizer)
Accuracy,96.26,Russell et al Dataset,RF (multi-class) (R0- baseline tokenizer)
Matthew's Correlation Coefficient (MCC),0.1771,Russell et al Dataset,RF (multi-class) (R0- baseline tokenizer)
Precision,86.43,Russell et al Dataset,RF (multi-class) (R1- Augmented R0)
Recall,28.27,Russell et al Dataset,RF (multi-class) (R1- Augmented R0)
F1 score,30.57,Russell et al Dataset,RF (multi-class) (R1- Augmented R0)
Accuracy,96.25,Russell et al Dataset,RF (multi-class) (R1- Augmented R0)
Matthew's Correlation Coefficient (MCC),0.1649,Russell et al Dataset,RF (multi-class) (R1- Augmented R0)
Precision,83.24,Russell et al Dataset,RF (multi-class) (R2- R1 + Integer values)
Recall,28.9,Russell et al Dataset,RF (multi-class) (R2- R1 + Integer values)
F1 score,31.68,Russell et al Dataset,RF (multi-class) (R2- R1 + Integer values)
Accuracy,96.26,Russell et al Dataset,RF (multi-class) (R2- R1 + Integer values)
Matthew's Correlation Coefficient (MCC),0.1777,Russell et al Dataset,RF (multi-class) (R2- R1 + Integer values)
Precision,74.83,Russell et al Dataset,RF (multi-class) (R3- R1 + Identifiers numbering)
Recall,28.5,Russell et al Dataset,RF (multi-class) (R3- R1 + Identifiers numbering)
F1 score,30.89,Russell et al Dataset,RF (multi-class) (R3- R1 + Identifiers numbering)
Accuracy,96.22,Russell et al Dataset,RF (multi-class) (R3- R1 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.1543,Russell et al Dataset,RF (multi-class) (R3- R1 + Identifiers numbering)
Precision,81.43,Russell et al Dataset,RF (multi-class) (R4- R2 + Identifiers numbering)
Recall,28.26,Russell et al Dataset,RF (multi-class) (R4- R2 + Identifiers numbering)
F1 score,30.46,Russell et al Dataset,RF (multi-class) (R4- R2 + Identifiers numbering)
Accuracy,96.23,Russell et al Dataset,RF (multi-class) (R4- R2 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.1549,Russell et al Dataset,RF (multi-class) (R4- R2 + Identifiers numbering)
Precision,100,Juliet,AutoML (multi-class) (R0- baseline tokenizer)
Recall,100,Juliet,AutoML (multi-class) (R0- baseline tokenizer)
F1 score,100,Juliet,AutoML (multi-class) (R0- baseline tokenizer)
Accuracy,100,Juliet,AutoML (multi-class) (R0- baseline tokenizer)
Matthew's Correlation Coefficient (MCC),1,Juliet,AutoML (multi-class) (R0- baseline tokenizer)
Precision,100,Juliet,AutoML (multi-class) (R1- Augmented R0)
Recall,100,Juliet,AutoML (multi-class) (R1- Augmented R0)
F1 score,100,Juliet,AutoML (multi-class) (R1- Augmented R0)
Accuracy,100,Juliet,AutoML (multi-class) (R1- Augmented R0)
Matthew's Correlation Coefficient (MCC),1,Juliet,AutoML (multi-class) (R1- Augmented R0)
Precision,100,Juliet,AutoML (multi-class) (R2- R1 + Integer values)
Recall,100,Juliet,AutoML (multi-class) (R2- R1 + Integer values)
F1 score,100,Juliet,AutoML (multi-class) (R2- R1 + Integer values)
Accuracy,100,Juliet,AutoML (multi-class) (R2- R1 + Integer values)
Matthew's Correlation Coefficient (MCC),1,Juliet,AutoML (multi-class) (R2- R1 + Integer values)
Precision,99.79,Juliet,AutoML (multi-class) (R3- R1 + Identifiers numbering)
Recall,99.63,Juliet,AutoML (multi-class) (R3- R1 + Identifiers numbering)
F1 score,99.71,Juliet,AutoML (multi-class) (R3- R1 + Identifiers numbering)
Accuracy,99.9,Juliet,AutoML (multi-class) (R3- R1 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.9987,Juliet,AutoML (multi-class) (R3- R1 + Identifiers numbering)
Precision,100,Juliet,AutoML (multi-class) (R4- R2 + Identifiers numbering)
Recall,100,Juliet,AutoML (multi-class) (R4- R2 + Identifiers numbering)
F1 score,100,Juliet,AutoML (multi-class) (R4- R2 + Identifiers numbering)
Accuracy,100,Juliet,AutoML (multi-class) (R4- R2 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),1,Juliet,AutoML (multi-class) (R4- R2 + Identifiers numbering)
Precision,31.97,GitHub Archive Dataset,AutoML (multi-class) (R0- baseline tokenizer)
Recall,26.57,GitHub Archive Dataset,AutoML (multi-class) (R0- baseline tokenizer)
F1 score,21.84,GitHub Archive Dataset,AutoML (multi-class) (R0- baseline tokenizer)
Accuracy,50.76,GitHub Archive Dataset,AutoML (multi-class) (R0- baseline tokenizer)
Matthew's Correlation Coefficient (MCC),0.0524,GitHub Archive Dataset,AutoML (multi-class) (R0- baseline tokenizer)
Precision,38.6,GitHub Archive Dataset,AutoML (multi-class) (R1- Augmented R0)
Recall,29.69,GitHub Archive Dataset,AutoML (multi-class) (R1- Augmented R0)
F1 score,24.5,GitHub Archive Dataset,AutoML (multi-class) (R1- Augmented R0)
Accuracy,50.83,GitHub Archive Dataset,AutoML (multi-class) (R1- Augmented R0)
Matthew's Correlation Coefficient (MCC),0.0464,GitHub Archive Dataset,AutoML (multi-class) (R1- Augmented R0)
Precision,55.28,GitHub Archive Dataset,AutoML (multi-class) (R2- R1 + Integer values)
Recall,26.03,GitHub Archive Dataset,AutoML (multi-class) (R2- R1 + Integer values)
F1 score,22.01,GitHub Archive Dataset,AutoML (multi-class) (R2- R1 + Integer values)
Accuracy,50.5,GitHub Archive Dataset,AutoML (multi-class) (R2- R1 + Integer values)
Matthew's Correlation Coefficient (MCC),0.0653,GitHub Archive Dataset,AutoML (multi-class) (R2- R1 + Integer values)
Precision,32.88,GitHub Archive Dataset,AutoML (multi-class) (R3- R1 + Identifiers numbering)
Recall,27.13,GitHub Archive Dataset,AutoML (multi-class) (R3- R1 + Identifiers numbering)
F1 score,23.92,GitHub Archive Dataset,AutoML (multi-class) (R3- R1 + Identifiers numbering)
Accuracy,50.26,GitHub Archive Dataset,AutoML (multi-class) (R3- R1 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.0412,GitHub Archive Dataset,AutoML (multi-class) (R3- R1 + Identifiers numbering)
Precision,35.23,GitHub Archive Dataset,AutoML (multi-class) (R4- R2 + Identifiers numbering)
Recall,26.11,GitHub Archive Dataset,AutoML (multi-class) (R4- R2 + Identifiers numbering)
F1 score,24.2,GitHub Archive Dataset,AutoML (multi-class) (R4- R2 + Identifiers numbering)
Accuracy,48.77,GitHub Archive Dataset,AutoML (multi-class) (R4- R2 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.0433,GitHub Archive Dataset,AutoML (multi-class) (R4- R2 + Identifiers numbering)
Precision,57.55,Russell et al Dataset,AutoML (multi-class) (R0- baseline tokenizer)
Recall,32.75,Russell et al Dataset,AutoML (multi-class) (R0- baseline tokenizer)
F1 score,33.59,Russell et al Dataset,AutoML (multi-class) (R0- baseline tokenizer)
Accuracy,96.19,Russell et al Dataset,AutoML (multi-class) (R0- baseline tokenizer)
Matthew's Correlation Coefficient (MCC),0.0883,Russell et al Dataset,AutoML (multi-class) (R0- baseline tokenizer)
Precision,63.89,Russell et al Dataset,AutoML (multi-class) (R1- Augmented R0)
Recall,38.85,Russell et al Dataset,AutoML (multi-class) (R1- Augmented R0)
F1 score,40.3,Russell et al Dataset,AutoML (multi-class) (R1- Augmented R0)
Accuracy,96.16,Russell et al Dataset,AutoML (multi-class) (R1- Augmented R0)
Matthew's Correlation Coefficient (MCC),0.1184,Russell et al Dataset,AutoML (multi-class) (R1- Augmented R0)
Precision,65.16,Russell et al Dataset,AutoML (multi-class) (R2- R1 + Integer values)
Recall,41.29,Russell et al Dataset,AutoML (multi-class) (R2- R1 + Integer values)
F1 score,43.41,Russell et al Dataset,AutoML (multi-class) (R2- R1 + Integer values)
Accuracy,966.28,Russell et al Dataset,AutoML (multi-class) (R2- R1 + Integer values)
Matthew's Correlation Coefficient (MCC),0.1472,Russell et al Dataset,AutoML (multi-class) (R2- R1 + Integer values)
Precision,60.12,Russell et al Dataset,AutoML (multi-class) (R3- R1 + Identifiers numbering)
Recall,40.83,Russell et al Dataset,AutoML (multi-class) (R3- R1 + Identifiers numbering)
F1 score,43.43,Russell et al Dataset,AutoML (multi-class) (R3- R1 + Identifiers numbering)
Accuracy,96.15,Russell et al Dataset,AutoML (multi-class) (R3- R1 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.1569,Russell et al Dataset,AutoML (multi-class) (R3- R1 + Identifiers numbering)
Precision,70.3,Russell et al Dataset,AutoML (multi-class) (R4- R2 + Identifiers numbering)
Recall,43.24,Russell et al Dataset,AutoML (multi-class) (R4- R2 + Identifiers numbering)
F1 score,45.22,Russell et al Dataset,AutoML (multi-class) (R4- R2 + Identifiers numbering)
Accuracy,96.22,Russell et al Dataset,AutoML (multi-class) (R4- R2 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.1434,Russell et al Dataset,AutoML (multi-class) (R4- R2 + Identifiers numbering)
Precision,99,Juliet,CNN (multi-class) (R0- baseline tokenizer)
Recall,98.69,Juliet,CNN (multi-class) (R0- baseline tokenizer)
F1 score,98.84,Juliet,CNN (multi-class) (R0- baseline tokenizer)
Accuracy,99.52,Juliet,CNN (multi-class) (R0- baseline tokenizer)
Matthew's Correlation Coefficient (MCC),0.9917,Juliet,CNN (multi-class) (R0- baseline tokenizer)
Precision,99.69,Juliet,CNN (multi-class) (R1- Augmented R0)
Recall,99.51,Juliet,CNN (multi-class) (R1- Augmented R0)
F1 score,99.6,Juliet,CNN (multi-class) (R1- Augmented R0)
Accuracy,99.87,Juliet,CNN (multi-class) (R1- Augmented R0)
Matthew's Correlation Coefficient (MCC),0.9977,Juliet,CNN (multi-class) (R1- Augmented R0)
Precision,99.79,Juliet,CNN (multi-class) (R2- R1 + Integer values)
Recall,99.65,Juliet,CNN (multi-class) (R2- R1 + Integer values)
F1 score,96.67,Juliet,CNN (multi-class) (R2- R1 + Integer values)
Accuracy,99.87,Juliet,CNN (multi-class) (R2- R1 + Integer values)
Matthew's Correlation Coefficient (MCC),0.9977,Juliet,CNN (multi-class) (R2- R1 + Integer values)
Precision,100,Juliet,CNN (multi-class) (R3- R1 + Identifiers numbering)
Recall,100,Juliet,CNN (multi-class) (R3- R1 + Identifiers numbering)
F1 score,100,Juliet,CNN (multi-class) (R3- R1 + Identifiers numbering)
Accuracy,100,Juliet,CNN (multi-class) (R3- R1 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),1,Juliet,CNN (multi-class) (R3- R1 + Identifiers numbering)
Precision,99.79,Juliet,CNN (multi-class) (R4- R2 + Identifiers numbering)
Recall,99.93,Juliet,CNN (multi-class) (R4- R2 + Identifiers numbering)
F1 score,99.86,Juliet,CNN (multi-class) (R4- R2 + Identifiers numbering)
Accuracy,99.96,Juliet,CNN (multi-class) (R4- R2 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.9992,Juliet,CNN (multi-class) (R4- R2 + Identifiers numbering)
Precision,65.38,GitHub Archive Dataset,CNN (multi-class) (R0- baseline tokenizer)
Recall,25.85,GitHub Archive Dataset,CNN (multi-class) (R0- baseline tokenizer)
F1 score,27.34,GitHub Archive Dataset,CNN (multi-class) (R0- baseline tokenizer)
Accuracy,54.08,GitHub Archive Dataset,CNN (multi-class) (R0- baseline tokenizer)
Matthew's Correlation Coefficient (MCC),0.2279,GitHub Archive Dataset,CNN (multi-class) (R0- baseline tokenizer)
Precision,57.04,GitHub Archive Dataset,CNN (multi-class) (R1- Augmented R0)
Recall,28.03,GitHub Archive Dataset,CNN (multi-class) (R1- Augmented R0)
F1 score,30.92,GitHub Archive Dataset,CNN (multi-class) (R1- Augmented R0)
Accuracy,53.54,GitHub Archive Dataset,CNN (multi-class) (R1- Augmented R0)
Matthew's Correlation Coefficient (MCC),0.2178,GitHub Archive Dataset,CNN (multi-class) (R1- Augmented R0)
Precision,55.01,GitHub Archive Dataset,CNN (multi-class) (R2- R1 + Integer values)
Recall,39.92,GitHub Archive Dataset,CNN (multi-class) (R2- R1 + Integer values)
F1 score,44.35,GitHub Archive Dataset,CNN (multi-class) (R2- R1 + Integer values)
Accuracy,56.78,GitHub Archive Dataset,CNN (multi-class) (R2- R1 + Integer values)
Matthew's Correlation Coefficient (MCC),0.3156,GitHub Archive Dataset,CNN (multi-class) (R2- R1 + Integer values)
Precision,54.41,GitHub Archive Dataset,CNN (multi-class) (R3- R1 + Identifiers numbering)
Recall,34.5,GitHub Archive Dataset,CNN (multi-class) (R3- R1 + Identifiers numbering)
F1 score,38.14,GitHub Archive Dataset,CNN (multi-class) (R3- R1 + Identifiers numbering)
Accuracy,56.37,GitHub Archive Dataset,CNN (multi-class) (R3- R1 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.289,GitHub Archive Dataset,CNN (multi-class) (R3- R1 + Identifiers numbering)
Precision,48.06,GitHub Archive Dataset,CNN (multi-class) (R4- R2 + Identifiers numbering)
Recall,39.16,GitHub Archive Dataset,CNN (multi-class) (R4- R2 + Identifiers numbering)
F1 score,41.9,GitHub Archive Dataset,CNN (multi-class) (R4- R2 + Identifiers numbering)
Accuracy,54.13,GitHub Archive Dataset,CNN (multi-class) (R4- R2 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.2869,GitHub Archive Dataset,CNN (multi-class) (R4- R2 + Identifiers numbering)
Precision,37.44,Russell et al Dataset,CNN (multi-class) (R0- baseline tokenizer)
Recall,27,Russell et al Dataset,CNN (multi-class) (R0- baseline tokenizer)
F1 score,28,Russell et al Dataset,CNN (multi-class) (R0- baseline tokenizer)
Accuracy,96.15,Russell et al Dataset,CNN (multi-class) (R0- baseline tokenizer)
Matthew's Correlation Coefficient (MCC),0.0908,Russell et al Dataset,CNN (multi-class) (R0- baseline tokenizer)
Precision,37.8,Russell et al Dataset,CNN (multi-class) (R1- Augmented R0)
Recall,26.94,Russell et al Dataset,CNN (multi-class) (R1- Augmented R0)
F1 score,27.92,Russell et al Dataset,CNN (multi-class) (R1- Augmented R0)
Accuracy,96.15,Russell et al Dataset,CNN (multi-class) (R1- Augmented R0)
Matthew's Correlation Coefficient (MCC),0.0897,Russell et al Dataset,CNN (multi-class) (R1- Augmented R0)
Precision,53.53,Russell et al Dataset,CNN (multi-class) (R2- R1 + Integer values)
Recall,27.04,Russell et al Dataset,CNN (multi-class) (R2- R1 + Integer values)
F1 score,28.19,Russell et al Dataset,CNN (multi-class) (R2- R1 + Integer values)
Accuracy,96.27,Russell et al Dataset,CNN (multi-class) (R2- R1 + Integer values)
Matthew's Correlation Coefficient (MCC),0.101,Russell et al Dataset,CNN (multi-class) (R2- R1 + Integer values)
Precision,65.58,Russell et al Dataset,CNN (multi-class) (R3- R1 + Identifiers numbering)
Recall,28.83,Russell et al Dataset,CNN (multi-class) (R3- R1 + Identifiers numbering)
F1 score,31.27,Russell et al Dataset,CNN (multi-class) (R3- R1 + Identifiers numbering)
Accuracy,96.19,Russell et al Dataset,CNN (multi-class) (R3- R1 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.1455,Russell et al Dataset,CNN (multi-class) (R3- R1 + Identifiers numbering)
Precision,39.31,Russell et al Dataset,CNN (multi-class) (R4- R2 + Identifiers numbering)
Recall,27.44,Russell et al Dataset,CNN (multi-class) (R4- R2 + Identifiers numbering)
F1 score,28.73,Russell et al Dataset,CNN (multi-class) (R4- R2 + Identifiers numbering)
Accuracy,96.27,Russell et al Dataset,CNN (multi-class) (R4- R2 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.1066,Russell et al Dataset,CNN (multi-class) (R4- R2 + Identifiers numbering)
Precision,99.79,Juliet,RNN (multi-class) (R0- baseline tokenizer)
Recall,99.93,Juliet,RNN (multi-class) (R0- baseline tokenizer)
F1 score,99.86,Juliet,RNN (multi-class) (R0- baseline tokenizer)
Accuracy,99.96,Juliet,RNN (multi-class) (R0- baseline tokenizer)
Matthew's Correlation Coefficient (MCC),0.9992,Juliet,RNN (multi-class) (R0- baseline tokenizer)
Precision,99.59,Juliet,RNN (multi-class) (R1- Augmented R0)
Recall,99.44,Juliet,RNN (multi-class) (R1- Augmented R0)
F1 score,99.51,Juliet,RNN (multi-class) (R1- Augmented R0)
Accuracy,99.83,Juliet,RNN (multi-class) (R1- Augmented R0)
Matthew's Correlation Coefficient (MCC),0.997,Juliet,RNN (multi-class) (R1- Augmented R0)
Precision,99.63,Juliet,RNN (multi-class) (R2- R1 + Integer values)
Recall,99.68,Juliet,RNN (multi-class) (R2- R1 + Integer values)
F1 score,99.66,Juliet,RNN (multi-class) (R2- R1 + Integer values)
Accuracy,99.83,Juliet,RNN (multi-class) (R2- R1 + Integer values)
Matthew's Correlation Coefficient (MCC),0.997,Juliet,RNN (multi-class) (R2- R1 + Integer values)
Precision,99.74,Juliet,RNN (multi-class) (R3- R1 + Identifiers numbering)
Recall,99.49,Juliet,RNN (multi-class) (R3- R1 + Identifiers numbering)
F1 score,99.61,Juliet,RNN (multi-class) (R3- R1 + Identifiers numbering)
Accuracy,99.83,Juliet,RNN (multi-class) (R3- R1 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.997,Juliet,RNN (multi-class) (R3- R1 + Identifiers numbering)
Precision,99.57,Juliet,RNN (multi-class) (R4- R2 + Identifiers numbering)
Recall,99.8,Juliet,RNN (multi-class) (R4- R2 + Identifiers numbering)
F1 score,99.68,Juliet,RNN (multi-class) (R4- R2 + Identifiers numbering)
Accuracy,99.87,Juliet,RNN (multi-class) (R4- R2 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.997,Juliet,RNN (multi-class) (R4- R2 + Identifiers numbering)
Precision,54.2,GitHub Archive Dataset,RNN (multi-class) (R0- baseline tokenizer)
Recall,41.28,GitHub Archive Dataset,RNN (multi-class) (R0- baseline tokenizer)
F1 score,44.31,GitHub Archive Dataset,RNN (multi-class) (R0- baseline tokenizer)
Accuracy,57.58,GitHub Archive Dataset,RNN (multi-class) (R0- baseline tokenizer)
Matthew's Correlation Coefficient (MCC),0.3345,GitHub Archive Dataset,RNN (multi-class) (R0- baseline tokenizer)
Precision,45.38,GitHub Archive Dataset,RNN (multi-class) (R1- Augmented R0)
Recall,34.41,GitHub Archive Dataset,RNN (multi-class) (R1- Augmented R0)
F1 score,37.21,GitHub Archive Dataset,RNN (multi-class) (R1- Augmented R0)
Accuracy,54.67,GitHub Archive Dataset,RNN (multi-class) (R1- Augmented R0)
Matthew's Correlation Coefficient (MCC),0.2679,GitHub Archive Dataset,RNN (multi-class) (R1- Augmented R0)
Precision,52.13,GitHub Archive Dataset,RNN (multi-class) (R2- R1 + Integer values)
Recall,47.74,GitHub Archive Dataset,RNN (multi-class) (R2- R1 + Integer values)
F1 score,49.44,GitHub Archive Dataset,RNN (multi-class) (R2- R1 + Integer values)
Accuracy,57.24,GitHub Archive Dataset,RNN (multi-class) (R2- R1 + Integer values)
Matthew's Correlation Coefficient (MCC),0.3604,GitHub Archive Dataset,RNN (multi-class) (R2- R1 + Integer values)
Precision,48.23,GitHub Archive Dataset,RNN (multi-class) (R3- R1 + Identifiers numbering)
Recall,38.55,GitHub Archive Dataset,RNN (multi-class) (R3- R1 + Identifiers numbering)
F1 score,40.64,GitHub Archive Dataset,RNN (multi-class) (R3- R1 + Identifiers numbering)
Accuracy,54.54,GitHub Archive Dataset,RNN (multi-class) (R3- R1 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.3017,GitHub Archive Dataset,RNN (multi-class) (R3- R1 + Identifiers numbering)
Precision,54.15,GitHub Archive Dataset,RNN (multi-class) (R4- R2 + Identifiers numbering)
Recall,33.07,GitHub Archive Dataset,RNN (multi-class) (R4- R2 + Identifiers numbering)
F1 score,35.89,GitHub Archive Dataset,RNN (multi-class) (R4- R2 + Identifiers numbering)
Accuracy,57.71,GitHub Archive Dataset,RNN (multi-class) (R4- R2 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.3104,GitHub Archive Dataset,RNN (multi-class) (R4- R2 + Identifiers numbering)
Precision,38.75,Russell et al Dataset,RNN (multi-class) (R0- baseline tokenizer)
Recall,26.76,Russell et al Dataset,RNN (multi-class) (R0- baseline tokenizer)
F1 score,27.68,Russell et al Dataset,RNN (multi-class) (R0- baseline tokenizer)
Accuracy,96.16,Russell et al Dataset,RNN (multi-class) (R0- baseline tokenizer)
Matthew's Correlation Coefficient (MCC),0.0878,Russell et al Dataset,RNN (multi-class) (R0- baseline tokenizer)
Precision,56.49,Russell et al Dataset,RNN (multi-class) (R1- Augmented R0)
Recall,28.1,Russell et al Dataset,RNN (multi-class) (R1- Augmented R0)
F1 score,29.7,Russell et al Dataset,RNN (multi-class) (R1- Augmented R0)
Accuracy,96.17,Russell et al Dataset,RNN (multi-class) (R1- Augmented R0)
Matthew's Correlation Coefficient (MCC),0.1195,Russell et al Dataset,RNN (multi-class) (R1- Augmented R0)
Precision,66.97,Russell et al Dataset,RNN (multi-class) (R2- R1 + Integer values)
Recall,27.4,Russell et al Dataset,RNN (multi-class) (R2- R1 + Integer values)
F1 score,28.76,Russell et al Dataset,RNN (multi-class) (R2- R1 + Integer values)
Accuracy,96.19,Russell et al Dataset,RNN (multi-class) (R2- R1 + Integer values)
Matthew's Correlation Coefficient (MCC),0.115,Russell et al Dataset,RNN (multi-class) (R2- R1 + Integer values)
Precision,48.1,Russell et al Dataset,RNN (multi-class) (R3- R1 + Identifiers numbering)
Recall,27.96,Russell et al Dataset,RNN (multi-class) (R3- R1 + Identifiers numbering)
F1 score,29.76,Russell et al Dataset,RNN (multi-class) (R3- R1 + Identifiers numbering)
Accuracy,96.15,Russell et al Dataset,RNN (multi-class) (R3- R1 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.114,Russell et al Dataset,RNN (multi-class) (R3- R1 + Identifiers numbering)
Precision,48.66,Russell et al Dataset,RNN (multi-class) (R4- R2 + Identifiers numbering)
Recall,28.23,Russell et al Dataset,RNN (multi-class) (R4- R2 + Identifiers numbering)
F1 score,29.9,Russell et al Dataset,RNN (multi-class) (R4- R2 + Identifiers numbering)
Accuracy,96.16,Russell et al Dataset,RNN (multi-class) (R4- R2 + Identifiers numbering)
Matthew's Correlation Coefficient (MCC),0.1186,Russell et al Dataset,RNN (multi-class) (R4- R2 + Identifiers numbering)
